Disease,Country,ResultName,ResultLink,Address,Latitude,Longitude,Contact,Description,Local,LocalLink
Alexander disease,Canada,Service génétique médicale,https://www.orpha.net/en/expert-centres/centre/359813?name=Alexander%20disease&consulting=medical&age=all&official=0,"3001, 12e Avenue Nord, J1H 5N4 SHERBROOKE, CANADA",45.4483618,-71.8679015,Phone 1: 1 (819) 820-6828 <br>Fax: 1 (819) 564-5217,Description: https://www.santeestrie.qc.ca/accueil/ <br>Age range: For adults and children <br>Type(s): Medical management,CIUSSS de lEstrie - CHUS Fleurimont,https://www.google.com/maps/search/3001%2C+12e+Avenue+Nord+SHERBROOKE+Qu%C3%A9bec
Alexander disease,Croatia,Expert Center on Rare Neurological Diseases,https://www.orpha.net/en/expert-centres/centre/620454?name=Alexander%20disease&consulting=medical&age=all&official=0,"Kispaticeva 12, 10000 ZAGREB, CROATIA",45.82455335,16.006115738597643,Phone 1: 385 (0)1 45 96 843 <br>Phone 2: 385 (0)1 24 21 846,Description: https://www.kbc-zagreb.hr/klinika-za-neurologiju.aspx <br>Age range: For adults and children <br>Type(s): Medical management Member of a ERN,Zagreb Clinical Hospital Center,https://www.google.com/maps/search/Kispaticeva+12+ZAGREB+CROATIA
Alexander disease,Cyprus,Neuromuscular diseases clinic,https://www.orpha.net/en/expert-centres/centre/66444?name=Alexander%20disease&consulting=medical&age=all&official=0,"Iroon Avenue 6, 1683 NICOSIA, CYPRUS",35.1668603,33.3142723,Phone 1: 0 22 35 86 00 <br>Fax: 0 22 39 27 86 <br>http://www.cing.ac.cy,Age range: For adults and children <br>Type(s): Medical management Member of a ERN,The Cyprus Institute of Neurology and Genetics,https://www.google.com/maps/search/Iroon+Avenue+6+NICOSIA+Cyprus
Alexander disease,Czech Republic,Expert Center on Leukodystrophy,https://www.orpha.net/en/expert-centres/centre/620462?name=Alexander%20disease&consulting=medical&age=all&official=0,"Videnska 800, Praha 4, 140 59 PRAHA, CZECH REPUBLIC",50.0300067,14.457062,Phone 1: 420 261 082 272 <br>https://www.ftn.cz/en/clinic-of-neurology-3rd-faculty-of-medicine-charles-university-and-thomayer-university-hospital-53/,Age range: For adults and children <br>Type(s): Medical management Member of a ERN,Thomayer University Hospital,https://www.google.com/maps/search/Videnska+800%2C+Praha+4+PRAHA+Capital+City+Prague
Alexander disease,Denmark,Expert Center on Rare Neurological Diseases,https://www.orpha.net/en/expert-centres/centre/620458?name=Alexander%20disease&consulting=medical&age=all&official=0,"Palle Juul-Jensens Boulevard 99, 8200 AARHUS, DENMARK",56.191909,10.172115,Phone 1: +45 78 45 00 00,Age range: For adults <br>Type(s): Medical management Member of a ERN,Aarhus University Hospital - Skejby,https://www.google.com/maps/search/Palle+Juul-Jensens+Boulevard+99+AARHUS+Midtjylland
Alexander disease,Estonia,Multidistsiplinaarne harvikhaiguste kompetentsikeskus,https://www.orpha.net/en/expert-centres/centre/624404?name=Alexander%20disease&consulting=medical&age=all&official=0,"L.Puusepa 2, 50406 TARTU, ESTONIA",58.367128,26.7024494,Phone 1: 372_7319_167 <br>Contact email: harvikhaigused@kliinikum.ee <br>https://www.kliinikum.ee/harvikhaigused/tutvustus/mis-on-haruldane-haigus-ehk-harvikhaigus/,Description: https://www.kliinikum.ee/harvikhaigused/meie-partnerid/ <br>Age range: For adults and children <br>Type(s): Medical management Member of a ERN,Competence Centre for Rare Diseases - Tartu University Hospital,https://www.google.com/maps/search/L.Puusepa+2+TARTU+Tartu
Alexander disease,Finland,Expert Centre on Rare Congenital Malformations and Rare Intellectual Disability_Helsinki,https://www.orpha.net/en/expert-centres/centre/54705?name=Alexander%20disease&consulting=medical&age=all&official=0,"Meilahdentie 2, 00250 HELSINKI, FINLAND",60.19158035,24.894805903397327,Phone 1: 358 50 452 7296 <br>https://www.hus.fi/en/patient/hospitals-and-other-units/skin-and-allergy-hospital/department-clinical-genetics-skin-and,"Description: https://www.hus.fi/en/patient/hospitals-and-other-units/skin-and-allergy-hospital/department-clinical-genetics-skin-and <br>Age range: For adults and children <br>Type(s): Medical management , Genetic counselling Member of a ERN",HUS - Helsinki University Hospital,https://www.google.com/maps/search/Meilahdentie+2+HELSINKI+Finland
Alexander disease,Finland,Expert Centre on Rare Neurological Diseases_Helsinki,https://www.orpha.net/en/expert-centres/centre/660596?name=Alexander%20disease&consulting=medical&age=all&official=0,", 00290 HELSINKI, FINLAND",60.1674881,24.9427473,,Age range: For adults <br>Type(s): Medical management,HUS - Helsinki University Hospital,https://www.google.com/maps/search/+HELSINKI+Finland
Alexander disease,Finland,Harvinaissairauksien yksikkö,https://www.orpha.net/en/expert-centres/centre/571761?name=Alexander%20disease&consulting=medical&age=all&official=0,", 00290 HELSINKI, FINLAND",60.1674881,24.9427473,Phone 1: 358 9 471 72783 <br>https://www.hus.fi/en/patient/hospitals-and-other-units/new-childrens-hospital,Description: https://www.hus.fi/en/patient/hospitals-and-other-units/new-childrens-hospital/rare-diseases-center <br>Age range: For adults and children <br>Type(s): Medical management,HUS - Helsinki University Hospital,https://www.google.com/maps/search/+HELSINKI+Finland
Alexander disease,Finland,Harvinaissairauksien yksikkö,https://www.orpha.net/en/expert-centres/centre/506699?name=Alexander%20disease&consulting=medical&age=all&official=0,"Puijonlaaksontie 2, 70210 KUOPIO, FINLAND",62.8978319,27.647982237660766,,Description: https://www.psshp.fi/ammattilaiset/harvinaissairauksien-yksikko?inheritRedirect=true <br>Age range: For adults and children <br>Type(s): Medical management,Kuopio University Hospital,https://www.google.com/maps/search/Puijonlaaksontie+2+KUOPIO+Finland
Alexander disease,Finland,Expert Centre on Rare Congenital Malformations and Rare Intellectual Disability_OULU,https://www.orpha.net/en/expert-centres/centre/652693?name=Alexander%20disease&consulting=medical&age=all&official=0,"Kajaanintie 50, 90220 OULU, FINLAND",65.0075809,25.51809122342837,Phone 1: 358 8 315 3218 <br>https://oys.fi/sairaanhoidon_palvelukeskus/yhteystiedot/#perinnollisyyspoliklinikka,"Age range: For adults and children <br>Type(s): Medical management , Genetic counselling Member of a ERN",Oulu University Hospital,https://www.google.com/maps/search/Kajaanintie+50+OULU+Finland
Alexander disease,Finland,Expert Centre on Rare Neurological Diseases,https://www.orpha.net/en/expert-centres/centre/620451?name=Alexander%20disease&consulting=medical&age=all&official=0,"Kajaanintie 50, 90220 OULU, FINLAND",65.0075809,25.51809122342837,,Age range: For adults and children <br>Type(s): Medical management Member of a ERN,Oulu University Hospital,https://www.google.com/maps/search/Kajaanintie+50+OULU+Finland
Alexander disease,Finland,Harvinaissairauksien yksikkö,https://www.orpha.net/en/expert-centres/centre/506695?name=Alexander%20disease&consulting=medical&age=all&official=0,"Kajaanintie 50, 90220 OULU, FINLAND",65.0075809,25.51809122342837,Phone 1: 358 8 315 3218 <br>https://oys.fi/sairaanhoidon_palvelukeskus/yhteystiedot/#perinnollisyyspoliklinikka,Age range: For adults and children <br>Type(s): Medical management,Oulu University Hospital,https://www.google.com/maps/search/Kajaanintie+50+OULU+Finland
Alexander disease,Finland,Harvinaissairauksien yksikkö,https://www.orpha.net/en/expert-centres/centre/506694?name=Alexander%20disease&consulting=medical&age=all&official=0,"Kiinamyllynkatu 4-8, 20520 TURKU, FINLAND",60.45337445,22.29259350193842,Phone 1: 358 2 313 0000 <br>https://www.tyks.fi/potilaille-ja-laheisille/sairaalat-ja-toimipisteet/tyks-kantasairaalan-alue,Description: https://www.vsshp.fi/fi/toimipaikat/tyks/osastot-ja-poliklinikat/Sivut/harvinaissairauksien-yksikko.aspx#horisontaali3 <br>Age range: For adults and children <br>Type(s): Medical management,Turku University Hospital,https://www.google.com/maps/search/Kiinamyllynkatu+4-8+TURKU+Finland
Alexander disease,France,Centre de référence des leucodystrophies et leucoencéphalopathies rares - Centre de compétence,https://www.orpha.net/en/expert-centres/centre/504509?name=Alexander%20disease&consulting=medical&age=all&official=0,"59 Boulevard Pinel, 69677 BRON, FRANCE",45.7471952,4.9001951,Phone 1: 33 (0)4 72 35 75 22 <br>Contact email: secretariat.neuroa@chu-lyon.fr <br>http://www.chu-lyon.fr/fr/service-de-neurologie-sclerose-en-plaques-pathologies-de-la-myeline-et-neuro-inflammation,Description: https://brain-team.fr/les-membres/les-reseaux-de-competences/ <br>Age range: For adults and children <br>Type(s): Medical management,CHU de Lyon HCL - GH Est-Hôpital Neurologique P. Wertheimer,https://www.google.com/maps/search/59+Boulevard+Pinel+BRON+AUVERGNE-RHONE-ALPES
Alexander disease,France,Centre de référence des leucodystrophies et leucoencéphalopathies rares - Site constitutif,https://www.orpha.net/en/expert-centres/centre/504498?name=Alexander%20disease&consulting=medical&age=all&official=0,"1, Place Lucie Aubrac, 63003 CLERMONT-FERRAND, FRANCE",45.673769,3.1610381,Phone 1: 33 (0)4 73 75 06 53 <br>Phone 2: 33 (0)4 73 75 06 54 <br>https://www.chu-clermontferrand.fr/liste-services/genetique-medicale,"Description: https://brain-team.fr/les-membres/les-centres-de-reference/leucodystrophies/ <br>Age range: For adults and children <br>Type(s): Medical management , Genetic counselling",CHU de Clermont-Ferrand - Hôpital dEstaing,https://www.google.com/maps/search/1%2C+Place+Lucie+Aubrac+CLERMONT-FERRAND+AUVERGNE-RHONE-ALPES
Alexander disease,France,Centre de référence des maladies génétiques rares du système nerveux - Site constitutif,https://www.orpha.net/en/expert-centres/centre/673306?name=Alexander%20disease&consulting=medical&age=all&official=0,"2 bd Maréchal de Lattre de Tassigny, 21000 DIJON, FRANCE",47.3201289,5.0684851,Phone 1: 33 (0)3 80 29 53 13 <br>Fax: 33 (0)3 80 29 32 66 <br>Contact email: secretariat.genetique@chu-dijon.fr,Description: https://brain-team.fr/les-membres/les-centres-de-reference/neurogenetique/ <br>Age range: For adults and children <br>Type(s): Medical management,CHU Dijon Bourgogne - Hôpital François Mitterrand,https://www.google.com/maps/search/2+bd+Mar%C3%A9chal+de+Lattre+de+Tassigny+DIJON+BOURGOGNE-FRANCHE-COMTE
Alexander disease,France,Centre de référence des leucodystrophies et leucoencéphalopathies rares - Centre de compétence,https://www.orpha.net/en/expert-centres/centre/504497?name=Alexander%20disease&consulting=medical&age=all&official=0,"2 Avenue Foch, 29609 BREST, FRANCE",48.3926755,-4.4875651,Phone 1: 33 (0)2 98 22 33 89 <br>Contact email: consultations.pediatrie@chu-brest.fr <br>https://www.chu-brest.fr/fr/notre-offre-soins/nos-specialites/femme-mere-enfant/pediatrie,"Description: https://brain-team.fr/les-membres/les-reseaux-de-competences/ <br>Age range: For children <br>Type(s): Medical management , Genetic counselling",CHRU de Brest - Hôpital Morvan,https://www.google.com/maps/search/2+Avenue+Foch+BREST+BRETAGNE
Alexander disease,France,Centre de référence des leucodystrophies et leucoencéphalopathies rares - Centre de compétence,https://www.orpha.net/en/expert-centres/centre/673297?name=Alexander%20disease&consulting=medical&age=all&official=0,"16 Boulevard de Bulgarie, 35203 RENNES, FRANCE",48.0838765,-1.6533819,Phone 1: 33 (0)2 99 26 67 44 <br>Fax: 33 (0)2 99 26 67 45 <br>Contact email: Secretariat.genetique.medicale@chu-rennes.fr <br>https://www.chu-rennes.fr/je-cherche/services-348/genetique-clinique-46.html?cHash=70b25d2410baa573b27478fbfd0d071d,Description: https://brain-team.fr/les-membres/les-reseaux-de-competences/ <br>Age range: For adults <br>Type(s): Medical management,CHU de Rennes - Hôpital Sud,https://www.google.com/maps/search/16+Boulevard+de+Bulgarie+RENNES+BRETAGNE
Alexander disease,France,Centre de référence des maladies génétiques rares du système nerveux - Site constitutif,https://www.orpha.net/en/expert-centres/centre/495602?name=Alexander%20disease&consulting=medical&age=all&official=0,"1 Avenue Molière, 67200 STRASBOURG, FRANCE",48.5927173,7.7072672,Phone 1: 33 (0)3 88 12 85 91 <br>Phone 2: 33 (0)3 88 12 85 92 <br>Contact email: marion.zumstein@chru-strasbourg.fr <br>https://www.chru-strasbourg.fr/maladie/neurogenetique-et-maladies-genetiques-rares-du-systeme-nerveux/,Description: https://www.chru-strasbourg.fr/maladie/neurogenetique-et-maladies-genetiques-rares-du-systeme-nerveux/ <br>Age range: For adults and children <br>Type(s): Medical management,CHU de Strasbourg - Hôpital de Hautepierre,https://www.google.com/maps/search/1+Avenue+Moli%C3%A8re+STRASBOURG+GRAND-EST
Alexander disease,France,Centre de référence des leucodystrophies et leucoencéphalopathies rares - Site coordonnateur,https://www.orpha.net/en/expert-centres/centre/67662?name=Alexander%20disease&consulting=medical&age=all&official=0,"78 rue du Général Leclerc, 94270 LE KREMLIN-BICÊTRE, FRANCE",48.81019955,2.35373933945299,Phone 1: 33 (0)1 45 21 30 17 <br>http://hopital-bicetre.aphp.fr/enfants/specialites-medicales/neuropediatrie/,Description: https://brain-team.fr/les-membres/les-centres-de-reference/leucodystrophies/ <br>Age range: For children <br>Type(s): Medical management Member of a ERN,"APHP. Université Paris-Saclay, Hôpital Bicêtre",https://www.google.com/maps/search/78+rue+du+G%C3%A9n%C3%A9ral+Leclerc+LE+KREMLIN-BIC%C3%8ATRE+ILE-DE-FRANCE
Alexander disease,France,Centre de référence des dystonies et mouvements anormaux rares - Site coordonnateur,https://www.orpha.net/en/expert-centres/centre/72269?name=Alexander%20disease&consulting=medical&age=all&official=0,"47-83 boulevard de l'Hôpital, 75013 PARIS, FRANCE",48.83558715,2.365018075184397,Phone 1: 33 (0)1 42 16 27 48 <br>https://pitiesalpetriere.aphp.fr/crmr-dystonies-mouvements-anormaux-rares/,Description: https://pitiesalpetriere.aphp.fr/crmr-dystonies-mouvements-anormaux-rares/ <br>Age range: For children <br>Type(s): Medical management Member of a ERN,AP-HP.Sorbonne Université - Hôpital de la Pitié-Salpêtrière,https://www.google.com/maps/search/47-83+boulevard+de+l%27H%C3%B4pital+PARIS+ILE-DE-FRANCE
Alexander disease,France,Centre de référence des leucodystrophies et leucoencéphalopathies rares - Centre de compétence,https://www.orpha.net/en/expert-centres/centre/504495?name=Alexander%20disease&consulting=medical&age=all&official=0,"149 rue de Sèvres, 75743 PARIS, FRANCE",48.846456,2.3156805,Phone 1: 33 (0)1 44 49 41 42 <br>Phone 2: 33 (0)1 42 19 26 93 / 95 <br>Fax: 33 (0)1 42 19 26 92 <br>Contact email: secretariat.neuropediatrie.nck@aphp.fr <br>http://hopital-necker.aphp.fr/neurologie-pediatrique,Description: https://brain-team.fr/les-membres/les-reseaux-de-competences/ <br>Age range: For children <br>Type(s): Medical management,Hôpital Necker-Enfants Malades,https://www.google.com/maps/search/149+rue+de+S%C3%A8vres+PARIS+ILE-DE-FRANCE
Alexander disease,France,Centre de référence des leucodystrophies et leucoencéphalopathies rares - Site constitutif,https://www.orpha.net/en/expert-centres/centre/504496?name=Alexander%20disease&consulting=medical&age=all&official=0,"47-83 boulevard de l'Hôpital, 75013 PARIS, FRANCE",48.83558715,2.365018075184397,Phone 1: 33 (0)1 42 16 13 95 (consult) <br>Phone 2: 33 (0)1 42 16 13 46 ou 47 (sec) <br>http://pitiesalpetriere.aphp.fr/genetique-clinique/,"Description: https://brain-team.fr/les-membres/les-centres-de-reference/leucodystrophies/ <br>Age range: For adults <br>Type(s): Medical management , Genetic counselling",AP-HP.Sorbonne Université - Hôpital de la Pitié-Salpêtrière,https://www.google.com/maps/search/47-83+boulevard+de+l%27H%C3%B4pital+PARIS+ILE-DE-FRANCE
Alexander disease,France,Centre de référence des maladies génétiques rares du système nerveux - Site constitutif,https://www.orpha.net/en/expert-centres/centre/72272?name=Alexander%20disease&consulting=medical&age=all&official=0,"26 avenue du Docteur Arnold Netter, 75012 PARIS, FRANCE",48.8427485,2.4053432,Phone 1: 33 (0)1 44 73 65 75 <br>Phone 2: 33 (0)1 85 34 00 29 <br>Contact email: line.saint-alban@aphp.fr <br>https://www.aphp.fr/service/service-07-088,Description: https://brain-team.fr/les-membres/les-centres-de-reference/neurogenetique/ <br>Age range: For children <br>Type(s): Medical management,AP-HP.Sorbonne Université - Hôpital dEnfants Armand-Trousseau,https://www.google.com/maps/search/26+avenue+du+Docteur+Arnold+Netter+PARIS+ILE-DE-FRANCE
Alexander disease,France,Centre de référence des maladies génétiques rares du système nerveux - Site coordonnateur,https://www.orpha.net/en/expert-centres/centre/67961?name=Alexander%20disease&consulting=medical&age=all&official=0,"47-83 boulevard de l'Hôpital, 75013 PARIS, FRANCE",48.83558715,2.365018075184397,Phone 1: 33 (0)1 42 16 13 95 <br>Contact email: rendezvous.genetique@aphp.fr <br>http://pitiesalpetriere.aphp.fr/genetique-clinique/,"Description: https://brain-team.fr/les-membres/les-centres-de-reference/neurogenetique/ <br>Age range: For adults and children <br>Type(s): Medical management , Genetic counselling Member of a ERN",AP-HP.Sorbonne Université - Hôpital de la Pitié-Salpêtrière,https://www.google.com/maps/search/47-83+boulevard+de+l%27H%C3%B4pital+PARIS+ILE-DE-FRANCE
Alexander disease,France,Centre de référence des maladies génétiques rares du système nerveux - Site constitutif,https://www.orpha.net/en/expert-centres/centre/673307?name=Alexander%20disease&consulting=medical&age=all&official=0,"37 Bd Gambetta, 76000 ROUEN, FRANCE",49.438707,1.1108253,Phone 1: 33 (0)2 32 88 87 47 <br>Contact email: genetique-clinique.secretariat@chu-rouen.fr <br>https://www.chu-rouen.fr/services/genetique/unite-de-genetique-clinique/,Description: https://brain-team.fr/les-membres/les-centres-de-reference/neurogenetique/ <br>Age range: For adults and children <br>Type(s): Medical management,CHU de Rouen,https://www.google.com/maps/search/37+Bd+Gambetta+ROUEN+NORMANDIE
Alexander disease,France,Centre de référence des maladies génétiques rares du système nerveux - Site constitutif,https://www.orpha.net/en/expert-centres/centre/184719?name=Alexander%20disease&consulting=medical&age=all&official=0,"Place Amélie Raba-Léon, 33076 BORDEAUX, FRANCE",44.83032395,-0.6032732957502815,Phone 1: 33 (0)5 56 79 56 79 <br>Contact email: sec-genetique@chu-bordeaux.fr <br>https://www.chu-bordeaux.fr/Les-services/Service-de-G%C3%A9n%C3%A9tique-m%C3%A9dicale/,"Description: https://brain-team.fr/les-membres/les-centres-de-reference/neurogenetique/ <br>Age range: For adults and children <br>Type(s): Medical management , Genetic counselling",CHU de Bordeaux-GH Pellegrin,https://www.google.com/maps/search/Place+Am%C3%A9lie+Raba-L%C3%A9on+BORDEAUX+NOUVELLE+AQUITAINE
Alexander disease,France,Centre de référence des leucodystrophies et leucoencéphalopathies rares - Site constitutif,https://www.orpha.net/en/expert-centres/centre/495606?name=Alexander%20disease&consulting=medical&age=all&official=0,"80 avenue Augustin Fliche, 34295 MONTPELLIER, FRANCE",43.6295915,3.8613246,Phone 1: 33 (0)4 67 33 94 69 <br>Phone 2: 33 (0)4 67 33 74 13 <br>Contact email: leucosep@chu-montpellier.fr <br>https://www.chu-montpellier.fr/fr/a-propos-du-chu/offre-de-soins/services/neurologie-257,Description: https://brain-team.fr/les-membres/les-centres-de-reference/leucodystrophies/ <br>Age range: For adults <br>Type(s): Medical management,CHU de Montpellier - Hôpital Gui de Chauliac,https://www.google.com/maps/search/80+avenue+Augustin+Fliche+MONTPELLIER+OCCITANIE
Alexander disease,France,Centre de référence des maladies génétiques rares du système nerveux - Site constitutif,https://www.orpha.net/en/expert-centres/centre/673309?name=Alexander%20disease&consulting=medical&age=all&official=0,"Route de Chateauboeuf - Quartier La Meynard - CS 90632, 97261 FORT DE FRANCE, FRANCE",14.6242622,-61.0398828,Phone 1: 596 (0)596 55 22 64 <br>Fax: 596 (0)5 96 75 52 66 <br>Contact email: cerca.secretariat@chu-martinique.fr <br>https://www.chu-martinique.fr/maladies-rares/,Description: https://brain-team.fr/les-membres/les-centres-de-reference/neurogenetique/ <br>Age range: For adults and children <br>Type(s): Medical management,CHU de Martinique - Hôpital P. Zobda-Quitman,https://www.google.com/maps/search/Route+de+Chateauboeuf+-++Quartier+La+Meynard+-+CS+90632+FORT+DE+FRANCE+OUTRE-MER
